Iter,MPI_error,Jacobi_error,GaussSeidel_error,Chebyshev_error
176,11.098701,9.050645,2.766112,23658048850557316183953228717803081346757461502623142109318037607289238250984963307036533045919055443507981176669124097285436203042718616454827648104292602755659333632.000000
177,11.039513,8.954642,2.710168,211695302621867006020414630428889508083823180652140510409055725149159187700724798176229770902650234874345202981818304445626358207244333876030328750858186840287028969472.000000
178,10.980572,8.851959,2.655332,1894310560121704602231902130601179913971445524847350333237921836671534739898001974063837222573068222505085863221473287320316792721315169339452773908372589573603644669952.000000
179,10.921879,8.754194,2.601584,16951135126711522378313826250487474270836005184520327847538982052869561541333905137299483907942570929656984893295750661930285875050184882523181547759946232147743741050880.000000
180,10.863436,8.657385,2.548903,151688976932217210060748353544195092317459717876132012742071587002836603926626590728343839886393960249180950939527059491604740246154580702801752322818154712781775995666432.000000
181,10.805245,8.558044,2.497408,1357428216773883847579936773755290045831211611752892917866830373927268706792926254312910437716841353405256003843209286110899748422854819412178284206328928362306993689460736.000000
182,10.747306,8.466857,2.446979,12147511514043768977371462185323248216007188616310102168952367652217695972815748939511964580116148265811811779570277163344816995907577087818530355800445454667530585216385024.000000
183,10.689622,8.366116,2.397549,108708960820742069284194799330719406192207645722895184898674033123817875008627750400211023099429184592674022740683681035258005444132913932903990850456232453055048546223390720.000000
184,10.632193,8.280307,2.349100,972861300730209052299060541360166909885082240443221467629028725645634078173436737105241119235525084586253258897377930280992457309720377845983890546534656423386846049878409216.000000
185,10.575021,8.180595,2.301611,8706508953473032175444537700833542915653926130989552947949358613026360630401283647652276367652015257973825126268074328146832827147942541705026712918103334922741216749878771712.000000
186,10.518106,8.097670,2.255064,77919237255475639668863657312223773244940674536361306026582282479495425327450801758918492926903995401218058586854409658963456259021188341874236322778020576443753538484176945152.000000
187,10.461450,8.003109,2.209442,697353254200780175798421178801303704634795688232172277618334533231079851797897443890986276726695098985245013143633512091673508968977237614650738344229600414229272002299047182336.000000
188,10.405053,7.918878,2.164871,6241204990164604674207425035575553440128751847807244626461804849862163649291875686502412276757599050050166849224689201112906343337417172767656282241168331425712850734572889964544.000000
189,10.348917,7.829262,2.121190,55858788976787209224469227333977257325647193595599926657301211205214855009848270721968188800475285414771704415922302941477758247007127709007055973475929723280303369783588941725696.000000
190,10.293782,7.743865,2.078375,499944754084030848112762100155345837540397381196960610639952604372714825186101227311289100743218677850256942442453172168771098475604838630879625951005385153768853289511169738932224.000000
191,10.241613,7.658992,2.036410,4474658777597938546635293760656055515881300938549443088582289211340280292869814136917879487815272058689971134677865508855020840676882259759867243602576862887064744903406821956386816.000000
192,10.189645,7.572564,1.995277,40050248430035637538414129133957822111428687399264706964382112572075256727922442812987402882315945732251149390756811521100380085666405579097299512993452323627655375192084493033799680.000000
